city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Tuatapere,NZ,-46.1333,167.6833,1651192413,100,68,56.95,2.37
São Filipe,CV,14.8961,-24.4956,1651192413,5,72,71.37,8.08
Gusinoye Ozero,RU,51.1144,106.2614,1651192413,6,34,42.22,4.74
Herat Province,AF,34.5,62.0,1651192414,0,41,67.62,9.06
Waitati,NZ,-45.75,170.5667,1651192414,0,67,57.79,3.4
Stawell,AU,-37.05,142.7667,1651192415,100,67,65.64,13.33
Litovko,RU,49.2361,135.1742,1651192415,14,30,51.37,11.52
Havøysund,NO,70.9963,24.6622,1651192416,100,67,26.83,21.3
Dudinka,RU,69.4058,86.1778,1651192416,100,93,16.63,6.6
Qinhuangdao,CN,39.9317,119.5883,1651192200,1,49,53.19,4.81
Molochnoye,RU,59.2917,39.6787,1651192417,55,62,27.55,7.07
Kruisfontein,ZA,-34.0033,24.7314,1651192417,7,47,60.98,8.39
Ouro Branco,BR,-20.5208,-43.6919,1651192418,0,87,59.94,1.83
Kaeo,NZ,-35.1,173.7833,1651192418,23,73,67.32,9.44
La Santisima Trinidad,BO,-14.8333,-64.9,1651192418,51,77,76.87,3.51
Darhan,MN,49.4867,105.9228,1651192419,0,29,39.88,4.03
Zhangye,CN,38.9342,100.4517,1651192419,100,23,49.8,14.79
Kapiri Mposhi,ZM,-13.9652,28.6809,1651192420,99,87,58.55,5.26
Iquique,CL,-20.2208,-70.1431,1651192298,64,78,64.44,0.63
Constitución,CL,-35.3333,-72.4167,1651192256,4,67,50.36,6.87
Coalinga,US,36.1397,-120.3602,1651192420,0,41,71.85,15.19
Xichang,CN,27.8964,102.2634,1651192421,6,68,64.29,1.45
Niamey,NE,13.5137,2.1098,1651192421,69,12,89.89,3.44
Kayerkan,RU,69.3497,87.7602,1651192422,100,78,15.53,4.92
Morondava,MG,-20.2833,44.2833,1651192422,0,61,72.72,11.43
Moñitos,CO,8.25,-76.05,1651192422,100,96,76.08,4.41
Kalmunai,LK,7.4167,81.8167,1651192423,75,87,79.84,5.5
Kununurra,AU,-15.7667,128.7333,1651192423,100,70,85.98,2.3
Leningradskiy,RU,69.3833,178.4167,1651192424,100,89,25.0,1.83
Severo-Yeniseyskiy,RU,60.3725,93.0408,1651192425,100,95,42.26,9.22
Anjozorobe,MG,-18.4,47.8667,1651192426,36,89,53.94,6.35
Vikhorevka,RU,56.1201,101.1636,1651192426,100,89,42.39,3.27
Banda Aceh,ID,5.5577,95.3222,1651192426,100,77,82.4,6.87
Vista Hermosa,MX,19.5167,-99.2167,1651192427,75,34,76.39,6.91
Hamilton,US,39.1834,-84.5333,1651192201,100,52,60.44,8.05
Palm Coast,US,29.585,-81.2078,1651192244,0,63,73.99,10.0
Hasaki,JP,35.7333,140.8333,1651192427,100,78,63.0,16.46
Lowestoft,GB,52.4752,1.7516,1651192428,100,79,46.02,9.73
Razlog,BG,41.8863,23.4671,1651192428,98,96,50.72,1.79
Ust'-Tarka,RU,55.5672,75.705,1651192429,100,47,60.75,12.48
Grand Gaube,MU,-20.0064,57.6608,1651192429,11,80,74.37,12.91
Yeppoon,AU,-23.1333,150.7333,1651192430,30,75,76.78,16.49
Urmary,RU,55.6789,47.944,1651192430,13,74,30.45,2.75
Majene,ID,-3.5403,118.9707,1651192430,31,71,84.51,5.41
Sørland,NO,67.667,12.6934,1651192431,100,58,35.15,15.88
Aktash,RU,50.3,87.7333,1651192431,60,58,32.54,3.02
